case,HolidayType,Price,NumberOfPersons,Region,Transportation,Duration,Season,Accommodation,Hotel
Journey36,Bathing,1383,3,Bulgaria,Plane,7,August,ThreeStars,Hotel_Gergana_Albena
Journey37,Bathing,3628,4,Bulgaria,Plane,21,August,ThreeStars,Hotel_Orlav_Albena
Journey38,Active,2739,3,Bulgaria,Plane,14,July,FourStars,Hotel_Burgas_Sunny_Beach
Journey39,Bathing,2399,2,Bulgaria,Plane,14,September,FourStars,Grandhotel_Varna_Albena
Journey40,Bathing,2273,3,Bornholm,Car,14,August,HolidayFlat,HFlat_Bornholm
Journey41,Bathing,1729,5,Bornholm,Car,7,July,HolidayFlat,HFlat_Bornholm
Journey42,Bathing,1389,4,Bornholm,Car,7,July,HolidayFlat,HFlat_Bornholm
Journey43,Recreation,968,6,Bornholm,Car,14,April,HolidayFlat,HFlat_Bornholm
Journey44,Recreation,489,6,Bornholm,Car,7,May,HolidayFlat,HFlat_Bornholm
Journey45,Recreation,489,6,Bornholm,Car,7,September,HolidayFlat,HFlat_Bornholm
Journey46,Bathing,2838,4,Fano,Car,14,July,HolidayFlat,HFlat_Fano
Journey47,Bathing,1399,6,Fano,Car,7,August,HolidayFlat,HFlat_Fano
Journey48,Recreation,958,6,Fano,Car,14,September,HolidayFlat,HFlat_Fano
Journey49,Recreation,579,3,Fano,Car,7,June,HolidayFlat,HFlat_Romo
Journey50,Recreation,789,5,Fano,Car,7,May,HolidayFlat,HFlat_Romo
Journey51,Recreation,2839,10,Fano,Car,7,July,HolidayFlat,HFlat_Romo
Journey52,Bathing,629,6,Lolland,Car,7,August,HolidayFlat,HFlat_Lolland
Journey53,Bathing,1598,4,Lolland,Car,14,July,HolidayFlat,HFlat_Lolland
Journey54,Recreation,429,8,Lolland,Car,7,September,HolidayFlat,HFlat_Lolland
Journey55,Recreation,648,2,Allgaeu,Car,7,June,TwoStars,Gasthaus_Meier_Allgaeu
Journey56,Wandering,972,4,Allgaeu,Car,7,July,TwoStars,Gasthaus_Alpenland_Allgaeu
Journey57,Recreation,1060,3,Allgaeu,Car,7,August,ThreeStars,Hotel_Alpspitz_Allgaeu
Journey58,Wandering,2110,3,Allgaeu,Train,14,July,ThreeStars,Hotel_Alpspitz_Allgaeu
Journey59,Active,1835,2,Allgaeu,Car,14,June,FiveStars,Hofgut_Kuernach_Allgaeu
Journey60,Wandering,951,2,Allgaeu,Car,7,September,FiveStars,Hofgut_Kuernach_Allgaeu
Journey61,Recreation,794,4,Allgaeu,Train,7,August,HolidayFlat,HFlat_Allgaeu
Journey62,Active,814,6,Allgaeu,Car,7,July,HolidayFlat,HFlat_Allgaeu
Journey63,Wandering,1568,4,Allgaeu,Car,14,June,HolidayFlat,HFlat_Allgaeu
Journey64,Wandering,644,4,Allgaeu,Car,7,July,HolidayFlat,HFlat_Allgaeu
Journey65,Recreation,648,2,Alps,Car,7,June,TwoStars,Pension_Blueml_Upper_Bavaria
Journey66,Wandering,2232,3,Alps,Car,14,July,TwoStars,Pension_Blueml_Upper_Bavaria
Journey67,Recreation,2082,4,Alps,Car,7,August,ThreeStars,Hotel_Chiemgauer_Hof_Upper_Bavaria
Journey68,Recreation,5185,3,Alps,Car,21,June,ThreeStars,Hotel_Chiemgauer_Hof_Upper_Bavaria
Journey69,Active,2368,2,Alps,Train,14,September,ThreeStars,Hotel_Chiemgauer_Hof_Upper_Bavaria
Journey70,Recreation,3758,2,Alps,Car,21,July,FourStars,Hotel_Zur_Post_Upper_Bavaria
Journey71,Recreation,3135,3,Alps,Car,14,August,FourStars,Hotel_Zur_Post_Upper_Bavaria
Journey72,Wandering,3762,4,Alps,Car,14,July,FourStars,Hotel_Zur_Post_Upper_Bavaria
Journey73,Recreation,1254,4,Alps,Car,7,June,HolidayFlat,HFlat_Upper_Bavaria
Journey74,Recreation,814,6,Alps,Train,7,August,HolidayFlat,HFlat_Upper_Bavaria
Journey75,Recreation,1361,2,Bavaria,Car,14,September,HolidayFlat,HFlat_Upper_Bavaria
Journey76,Recreation,1618,4,Bavaria,Car,14,May,HolidayFlat,HFlat_Upper_Bavaria
Journey77,Recreation,1728,2,Bavaria,Train,14,July,HolidayFlat,HFlat_Upper_Bavaria
Journey78,Wandering,609,3,Bavaria,Car,7,June,HolidayFlat,HFlat_Upper_Bavaria
Journey79,Wandering,1069,6,Bavaria,Car,7,August,HolidayFlat,HFlat_Upper_Bavaria
Journey80,Wandering,684,4,Bavaria,Car,7,September,HolidayFlat,HFlat_Upper_Bavaria
Journey81,Active,1328,4,Bavaria,Train,14,May,HolidayFlat,HFlat_Upper_Bavaria
Journey82,Active,779,2,Bavaria,Car,7,June,HolidayFlat,HFlat_Upper_Bavaria
Journey83,Active,1639,5,Bavaria,Car,7,July,HolidayFlat,HFlat_Upper_Bavaria
Journey84,Wandering,944,8,Bavaria,Car,7,August,HolidayFlat,HFlat_Upper_Bavaria
Journey85,Wandering,758,2,ErzGebirge,Car,7,June,TwoStars,Wolfsgruener_Schloss_Erz_Gebirge
Journey86,Wandering,758,3,ErzGebirge,Car,7,July,TwoStars,Wolfsgruener_Schloss_Erz_Gebirge
Journey87,Recreation,1885,4,ErzGebirge,Car,14,August,TwoStars,Wolfsgruener_Schloss_Erz_Gebirge
Journey88,Recreation,758,3,ErzGebirge,Car,7,September,TwoStars,Wolfsgruener_Schloss_Erz_Gebirge
Journey89,Wandering,1828,2,ErzGebirge,Car,14,May,ThreeStars,Hotel_Am_Fichtelberg_Erz_Gebirge
Journey90,Wandering,918,2,ErzGebirge,Train,7,July,ThreeStars,Hotel_Am_Fichtelberg_Erz_Gebirge
Journey91,Wandering,2738,3,ErzGebirge,Car,21,June,ThreeStars,Hotel_Am_Fichtelberg_Erz_Gebirge
Journey92,Recreation,1828,3,ErzGebirge,Car,14,September,ThreeStars,Sporthotel_Erz_Gebirge
Journey93,Recreation,918,2,ErzGebirge,Car,7,May,ThreeStars,Sporthotel_Erz_Gebirge
Journey94,Wandering,1580,4,ErzGebirge,Train,7,August,FourStars,Kur-_und_Sporthotel_Erz_Gebirge
Journey95,Wandering,958,2,ErzGebirge,Car,7,July,FourStars,Kur-_und_Sporthotel_Erz_Gebirge
Journey96,Wandering,2385,3,ErzGebirge,Car,14,June,FourStars,Kur-_und_Sporthotel_Erz_Gebirge
Journey97,Recreation,1372,3,ErzGebirge,Car,7,August,FourStars,Hotel_Panorama_Erz_Gebirge
Journey98,Recreation,2188,2,ErzGebirge,Car,14,September,FourStars,Hotel_Panorama_Erz_Gebirge
Journey99,Active,1098,2,ErzGebirge,Car,7,August,FourStars,Hotel_Panorama_Erz_Gebirge
Journey100,Recreation,478,2,Harz,Car,7,May,TwoStars,Hotel_Brockenscheideck_Harz
Journey101,Wandering,948,2,Harz,Train,14,June,TwoStars,Hotel_Brockenscheideck_Harz
Journey102,Recreation,1072,3,Harz,Car,7,July,ThreeStars,Hotel_Waldfrieden_Harz
Journey103,Recreation,1501,4,Harz,Car,7,August,ThreeStars,Hotel_Waldfrieden_Harz
Journey104,Recreation,1868,2,Harz,Car,14,September,ThreeStars,Hotel_Waldfrieden_Harz
Journey105,Wandering,1172,3,Harz,Car,7,May,ThreeStars,Hotel_Waldfrieden_Harz
Journey106,Recreation,1888,2,Harz,Car,7,June,FiveStars,Hotel_Maritim_Harz
Journey107,Recreation,1888,3,Harz,Train,7,July,FiveStars,Hotel_Maritim_Harz
Journey108,Wandering,3768,2,Harz,Car,14,May,FiveStars,Hotel_Maritim_Harz
Journey109,Recreation,484,2,Harz,Car,7,August,HolidayFlat,HFlat_Harz
Journey110,Recreation,374,4,Harz,Car,7,September,HolidayFlat,HFlat_Harz
Journey111,Recreation,589,3,Harz,Car,7,June,HolidayFlat,HFlat_Harz
Journey112,Wandering,719,4,Harz,Train,7,July,HolidayFlat,HFlat_Harz
Journey113,Wandering,1248,4,Harz,Car,14,August,HolidayFlat,HFlat_Harz
Journey114,Bathing,398,2,NorthSea,Car,7,July,OneStar,Pension_Murra_North_Sea
Journey115,Recreation,398,2,NorthSea,Car,7,June,OneStar,Pension_Murra_North_Sea
Journey116,Bathing,1348,3,NorthSea,Car,7,July,TwoStars,Pension_Nina_North_Sea
Journey117,Bathing,1348,2,NorthSea,Car,7,August,TwoStars,Pension_Nina_North_Sea
Journey118,Recreation,3228,2,NorthSea,Car,14,May,TwoStars,Hotel_Silbermoeve_North_Sea
Journey119,Recreation,1618,2,NorthSea,Train,7,September,TwoStars,Hotel_Silbermoeve_North_Sea
Journey120,Bathing,719,4,NorthSea,Car,7,August,HolidayFlat,HFlat_North_Sea
Journey121,Bathing,669,6,NorthSea,Car,7,July,HolidayFlat,HFlat_North_Sea
Journey122,Bathing,2108,4,NorthSea,Car,14,August,HolidayFlat,HFlat_North_Sea
Journey123,Recreation,579,4,NorthSea,Train,7,June,HolidayFlat,HFlat_North_Sea
Journey124,Recreation,664,5,NorthSea,Car,7,July,HolidayFlat,HFlat_North_Sea
Journey125,Recreation,1138,4,NorthSea,Car,14,August,HolidayFlat,HFlat_North_Sea
Journey126,Active,2198,3,NorthSea,Car,14,September,HolidayFlat,HFlat_North_Sea
Journey127,Recreation,1044,6,NorthSea,Train,7,June,HolidayFlat,HFlat_North_Sea
Journey128,Active,719,3,NorthSea,Car,7,August,HolidayFlat,HFlat_Sylt
Journey129,Bathing,1828,2,BalticSea,Car,14,July,TwoStars,Hotel_Stoertebeker_Zingst
Journey130,Bathing,918,3,BalticSea,Car,7,August,TwoStars,Hotel_Stoertebeker_Zingst
Journey131,Recreation,918,2,BalticSea,Car,7,June,TwoStars,Hotel_Am_Leuchtturm_Warnemuende
Journey132,Recreation,1147,3,BalticSea,Train,7,September,TwoStars,Hotel_Am_Leuchtturm_Warnemuende
Journey133,Bathing,1047,3,BalticSea,Car,7,July,ThreeStars,Hotel_Baltic_Usedom
Journey134,Bathing,2472,4,BalticSea,Car,14,August,ThreeStars,Hotel_Baltic_Usedom
Journey135,Recreation,2226,3,BalticSea,Car,14,June,ThreeStars,NobisHotel_Ruegen
Journey136,Bathing,1438,2,BalticSea,Car,7,August,FourStars,Ostseehotel_Wustrow
Journey137,Active,1797,3,BalticSea,Car,7,July,FourStars,Ostseehotel_Wustrow
Journey138,Bathing,1044,4,BalticSea,Train,7,August,HolidayFlat,HFlat_Baltic_Sea
Journey139,Bathing,639,2,BalticSea,Car,7,August,HolidayFlat,HFlat_Fehmarn
Journey140,Bathing,1818,2,BalticSea,Car,14,July,HolidayFlat,HFlat_Ruegen
Journey141,Recreation,539,4,BalticSea,Car,7,June,HolidayFlat,HFlat_Baltic_Sea
Journey142,Recreation,709,6,BalticSea,Car,7,May,HolidayFlat,HFlat_Baltic_Sea
Journey143,Active,994,4,BalticSea,Train,14,July,HolidayFlat,HFlat_Baltic_Sea
Journey144,Wandering,547,3,BlackForest,Car,7,May,TwoStars,Hotel_Hirschen_Black_Forest
Journey145,Recreation,868,2,BlackForest,Car,14,June,TwoStars,Hotel_Hirschen_Black_Forest
Journey146,Wandering,907,3,BlackForest,Car,7,July,ThreeStars,Hotel_Waldwinkel_Black_Forest
Journey147,Wandering,698,2,BlackForest,Car,14,August,ThreeStars,Hotel_Waldwinkel_Black_Forest
Journey148,Wandering,738,2,BlackForest,Train,7,September,ThreeStars,Berghotel_Kandel_Black_Forest
Journey149,Recreation,922,3,BlackForest,Car,7,August,ThreeStars,Berghotel_Kandel_Black_Forest
Journey150,Wandering,3732,4,BlackForest,Car,14,July,FourStars,Kurhotel_Black_Forest
Journey151,Recreation,1138,2,BlackForest,Car,7,June,FourStars,Kurhotel_Black_Forest
Journey152,Wandering,449,2,BlackForest,Train,7,May,HolidayFlat,HFlat_Black_Forest
Journey153,Wandering,459,5,BlackForest,Car,7,June,HolidayFlat,HFlat_Black_Forest
Journey154,Wandering,1039,3,BlackForest,Car,7,July,HolidayFlat,HFlat_Black_Forest
Journey155,Wandering,2538,3,BlackForest,Car,14,August,HolidayFlat,HFlat_Black_Forest
Journey156,Recreation,1313,2,BlackForest,Car,14,September,HolidayFlat,HFlat_Black_Forest
Journey157,Recreation,904,6,BlackForest,Car,7,October,HolidayFlat,HFlat_Black_Forest
Journey158,Recreation,984,7,BlackForest,Train,7,July,HolidayFlat,HFlat_Black_Forest
Journey159,Recreation,638,2,Thuringia,Car,7,May,ThreeStars,Berghotel_Oberhof_Thuringia
Journey160,Recreation,922,3,Thuringia,Car,7,August,ThreeStars,Berghotel_Oberhof_Thuringia
Journey161,Active,998,2,Thuringia,Car,7,June,ThreeStars,Hotel_Finsterbergen_Thuringia
Journey162,Wandering,2588,3,Thuringia,Car,14,July,ThreeStars,Hotel_Finsterbergen_Thuringia
Journey163,Wandering,1377,4,Thuringia,Train,7,August,FourStars,Hotel_Rennsteig_Thuringia
Journey164,Recreation,918,2,Thuringia,Car,7,September,FourStars,Hotel_Rennsteig_Thuringia
Journey165,Active,2285,3,Thuringia,Car,14,August,FourStars,Hotel_Rennsteig_Thuringia
Journey166,Recreation,2668,2,Thuringia,Car,14,October,FourStars,Hotel_Panorama_Thuringia
Journey167,Active,1497,3,Thuringia,Car,7,August,FourStars,Hotel_Panorama_Thuringia
Journey168,Active,2388,3,Thuringia,Car,14,August,FourStars,Hotel_Panorama_Thuringia
Journey169,Recreation,589,4,Thuringia,Car,7,July,HolidayFlat,HFlat_Thuringia
Journey170,Recreation,1128,4,Thuringia,Train,14,June,HolidayFlat,HFlat_Thuringia
Journey171,Recreation,589,4,Thuringia,Car,7,May,HolidayFlat,HFlat_Thuringia
Journey172,Recreation,1148,4,Thuringia,Car,14,July,HolidayFlat,HFlat_Thuringia
Journey173,Wandering,574,4,Thuringia,Car,7,August,HolidayFlat,HFlat_Thuringia
Journey174,Bathing,858,4,Atlantic,Car,14,May,HolidayFlat,HFlat_Atlantik_France
Journey175,Bathing,2078,4,Atlantic,Car,14,June,HolidayFlat,HFlat_Atlantik_France
Journey176,Bathing,4718,7,Atlantic,Car,14,July,HolidayFlat,HFlat_Atlantik_France
Journey177,Bathing,1698,4,Atlantic,Car,14,August,HolidayFlat,HFlat_Atlantik_France
Journey178,Bathing,649,6,Atlantic,Car,7,September,HolidayFlat,HFlat_Atlantik_France
Journey179,Bathing,394,3,Atlantic,Car,7,June,HolidayFlat,HFlat_Atlantik_France
Journey180,Bathing,1289,5,Atlantic,Car,7,July,HolidayFlat,HFlat_Atlantik_France
Journey181,Bathing,879,4,Atlantic,Car,7,August,HolidayFlat,HFlat_Atlantik_France
Journey182,Bathing,1347,3,Atlantic,Car,21,May,HolidayFlat,HFlat_Atlantik_France
Journey183,Active,838,5,Atlantic,Car,14,June,HolidayFlat,HFlat_Atlantik_France
Journey184,Active,1938,6,Atlantic,Car,14,July,HolidayFlat,HFlat_Atlantik_France
Journey185,Active,849,6,Atlantic,Car,7,August,HolidayFlat,HFlat_Atlantik_France
Journey186,Active,1204,8,Atlantic,Car,7,June,HolidayFlat,HFlat_Atlantik_France
Journey187,Recreation,2878,8,Atlantic,Car,14,July,HolidayFlat,HFlat_Atlantik_France
Journey188,Recreation,2187,2,Atlantic,Car,21,August,HolidayFlat,HFlat_Atlantik_France
Journey189,Bathing,519,2,CotedAzur,Car,7,April,HolidayFlat,HFlat_Cote_d Azur
Journey190,Bathing,479,3,CotedAzur,Car,7,May,HolidayFlat,HFlat_Cote_d Azur
Journey191,Bathing,829,7,CotedAzur,Car,7,June,HolidayFlat,HFlat_Cote_d Azur
Journey192,Bathing,1089,5,CotedAzur,Car,7,July,HolidayFlat,HFlat_Cote_d Azur
Journey193,Bathing,1029,5,CotedAzur,Car,7,August,HolidayFlat,HFlat_Cote_d Azur
Journey194,Bathing,799,6,CotedAzur,Car,7,September,HolidayFlat,HFlat_Cote_d Azur
Journey195,Bathing,449,4,CotedAzur,Train,7,October,HolidayFlat,HFlat_Cote_d Azur
Journey196,Bathing,1198,4,CotedAzur,Car,14,May,HolidayFlat,HFlat_Cote_d Azur
Journey197,Bathing,1108,4,CotedAzur,Train,14,June,HolidayFlat,HFlat_Cote_d Azur
Journey198,Bathing,4458,7,CotedAzur,Car,14,July,HolidayFlat,HFlat_Cote_d Azur
Journey199,Active,2678,3,CotedAzur,Car,14,August,HolidayFlat,HFlat_Cote_d Azur
Journey200,Active,1598,4,CotedAzur,Car,14,September,HolidayFlat,HFlat_Cote_d Azur
Journey201,Active,589,6,CotedAzur,Car,7,May,HolidayFlat,HFlat_Cote_d Azur
Journey202,Recreation,449,2,CotedAzur,Train,7,June,HolidayFlat,HFlat_Cote_d Azur
Journey203,Recreation,1838,3,CotedAzur,Car,14,July,HolidayFlat,HFlat_Cote_d Azur
Journey204,Bathing,1539,2,Corsica,Plane,14,May,OneStar,Caravan_La_Pinede
Journey205,Bathing,2469,3,Corsica,Plane,14,June,OneStar,Hotel_L Esquinade
Journey206,Bathing,5269,4,Corsica,Plane,14,July,TwoStars,Feriendorf_Vallicella
Journey207,Bathing,2249,3,Corsica,Plane,21,June,TwoStars,Mobilhomes_La_Pinede
Journey208,Bathing,1898,2,Corsica,Plane,7,August,TwoStars,Hotel_Funtana_Marina
Journey209,Bathing,3522,4,Corsica,Plane,7,July,TwoStars,Feriendorf_Vallicella
Journey210,Bathing,3459,3,Corsica,Plane,14,August,ThreeStars,Calvi-Hotel
Journey211,Bathing,2539,2,Corsica,Plane,14,September,ThreeStars,Studios_Le_Rocher
Journey212,Bathing,5659,3,Corsica,Plane,21,July,ThreeStars,Hotel_Pineto
Journey213,Bathing,3298,2,Corsica,Plane,14,June,ThreeStars,Hotel_Orizonte
Journey214,Active,2718,2,Corsica,Plane,14,September,ThreeStars,Grand_Hotel
Journey215,Active,5678,3,Corsica,Plane,21,August,ThreeStars,Grand_Hotel
Journey216,Active,2038,2,Corsica,Plane,14,June,TwoStars,Mobilhomes_La_Pinede
Journey217,Wandering,634,1,Corsica,Plane,7,April,TwoStars,Mobilhomes_La_Pinede
Journey218,Wandering,2578,2,Corsica,Plane,14,May,ThreeStars,Grand_Hotel
Journey219,Bathing,659,4,Normandy,Car,7,June,HolidayFlat,HFlat_Normandy
Journey220,Bathing,709,2,Normandy,Car,7,July,HolidayFlat,HFlat_Normandy
Journey221,Active,809,4,Normandy,Car,7,August,HolidayFlat,HFlat_Normandy
Journey222,Active,1418,2,Normandy,Car,14,August,HolidayFlat,HFlat_Normandy
Journey223,Recreation,1618,4,Normandy,Car,14,July,HolidayFlat,HFlat_Normandy
Journey224,Bathing,689,4,Brittany,Car,7,June,HolidayFlat,HFlat_Brittany
Journey225,Bathing,1549,7,Brittany,Car,7,July,HolidayFlat,HFlat_Brittany
Journey226,Bathing,1064,5,Brittany,Car,7,August,HolidayFlat,HFlat_Brittany
Journey227,Bathing,519,4,Brittany,Car,7,September,HolidayFlat,HFlat_Brittany
Journey228,Active,1219,6,Brittany,Car,7,August,HolidayFlat,HFlat_Brittany
Journey229,Active,889,4,Brittany,Car,7,July,HolidayFlat,HFlat_Brittany
Journey230,Active,1268,4,Brittany,Car,14,June,HolidayFlat,HFlat_Brittany
Journey231,Recreation,2108,5,Brittany,Car,14,July,HolidayFlat,HFlat_Brittany
Journey232,Recreation,1258,4,Brittany,Car,14,August,HolidayFlat,HFlat_Brittany
Journey233,Recreation,1797,4,Brittany,Car,21,June,HolidayFlat,HFlat_Brittany
Journey234,Bathing,3485,3,Attica,Plane,14,May,FourStars,Hotel_Golden_Coast_Attica
Journey235,Bathing,2038,2,Attica,Plane,14,April,TwoStars,Hotel_Calamos_Beach_Attica
Journey236,Bathing,3129,4,Attica,Plane,7,September,ThreeStars,Hotel_Kalypso_Club_Attica
Journey237,Bathing,2518,2,Attica,Plane,14,June,ThreeStars,Hotel_Menexelis_Attica
Journey238,Bathing,3215,3,Attica,Plane,14,July,ThreeStars,Hotel_Miramare_Attica
Journey239,Bathing,4002,3,Attica,Plane,21,September,FourStars,Hotel_Holidays_in_Evia_Attica
Journey240,Bathing,3216,4,Attica,Plane,7,August,ThreeStars,Hotel_Menexelis_Attica
Journey241,Bathing,1149,1,Attica,Plane,14,June,TwoStars,Hotel_Calamos_Beach_Attica
Journey242,Bathing,3658,2,Attica,Plane,14,July,FourStars,Hotel_Golden_Coast_Attica
Journey243,Bathing,3458,2,Attica,Plane,21,August,ThreeStars,Hotel_Menexelis_Attica
Journey244,Bathing,2742,3,Attica,Plane,14,July,TwoStars,Hotel_Calamos_Beach_Attica
Journey245,Recreation,2258,2,Attica,Plane,7,June,FourStars,Hotel_Golden_Coast_Attica
Journey246,Recreation,1169,1,Attica,Plane,14,September,ThreeStars,Hotel_Miramare_Attica
Journey247,Recreation,3215,3,Attica,Plane,14,August,ThreeStars,Hotel_Miramare_Attica
Journey248,Recreation,3378,2,Attica,Plane,21,May,FourStars,Hotel_Golden_Coast_Attica
Journey249,Bathing,2787,3,Chalkidiki,Plane,14,July,TwoStars,Hotel_Sermyli_Chalkidiki
Journey250,Bathing,4673,4,Chalkidiki,Plane,14,August,ThreeStars,Hotel_Portes_Beach_Chalkidiki
Journey251,Bathing,2898,2,Chalkidiki,Plane,21,September,ThreeStars,Hotel_Mendi_Chalkidiki
Journey252,Bathing,2538,2,Chalkidiki,Plane,14,June,ThreeStars,Hotel_Olympico_Chalkidiki
Journey253,Bathing,2427,3,Chalkidiki,Plane,7,July,ThreeStars,Hotel_Olympico_Chalkidiki
Journey254,Recreation,2358,2,Chalkidiki,Plane,14,May,ThreeStars,Hotel_Olympico_Chalkidiki
Journey255,Recreation,2898,2,Chalkidiki,Plane,21,September,ThreeStars,Hotel_Mendi_Chalkidiki
Journey256,Recreation,2398,2,Chalkidiki,Plane,14,June,ThreeStars,Hotel_Mendi_Chalkidiki
Journey257,Active,3718,3,Chalkidiki,Plane,14,July,FourStars,Hotel_Sani_Beach_Chalkidiki
Journey258,Active,3299,3,Chalkidiki,Plane,7,August,FourStars,Hotel_Sani_Beach_Chalkidik
Journey259,Active,3318,2,Chalkidiki,Plane,14,June,FourStars,Hotel_Sani_Beach_Chalkidik
Journey260,Recreation,5329,4,Chalkidiki,Plane,14,July,FourStars,Hotel_Athos_Palace_Chalkidiki
Journey261,Recreation,3258,2,Chalkidiki,Plane,21,May,FourStars,Hotel_Athos_Palace_Chalkidiki
Journey262,Recreation,3038,2,Chalkidiki,Plane,14,September,FourStars,Hotel_Athos_Palace_Chalkidiki
Journey263,Education,2738,2,Chalkidiki,Plane,21,October,FourStars,Hotel_Athos_Palace_Chalkidiki
Journey264,Bathing,2831,3,Corfu,Plane,14,June,TwoStars,Hotel_Iliada_Corfu
Journey265,Bathing,3644,4,Corfu,Plane,14,July,TwoStars,Hotel_Iliada_Corfu
Journey266,Bathing,3258,2,Corfu,Plane,21,September,ThreeStars,Hotel_Belvedere_Corfu
Journey267,Bathing,3793,3,Corfu,Plane,14,August,ThreeStars,Hotel_Belvedere_Corfu
Journey268,Bathing,2779,3,Corfu,Plane,7,August,ThreeStars,Hotel_Belvedere_Corfu
Journey269,Bathing,2698,2,Corfu,Plane,14,June,ThreeStars,Hotel_Coral_Corfu
Journey270,Bathing,3649,3,Corfu,Plane,21,September,ThreeStars,Hotel_Coral_Corfu
Journey271,Bathing,3078,2,Corfu,Plane,14,July,ThreeStars,Hotel_Coral_Corfu
Journey272,Bathing,3198,2,Corfu,Plane,14,September,ThreeStars,Hotel_Mirabell_Corfu
Journey273,Active,3758,2,Corfu,Plane,21,June,ThreeStars,Hotel_Mirabell_Corfu
Journey274,Active,3198,3,Corfu,Plane,14,August,ThreeStars,Hotel_Mirabell_Corfu
Journey275,Active,2158,2,Corfu,Plane,7,July,FourStars,Hotel_Regency_Corfu
Journey276,Recreation,3418,2,Corfu,Plane,21,June,FourStars,Hotel_Regency_Corfu
Journey277,Recreation,3038,2,Corfu,Plane,14,September,FourStars,Hotel_Kerkyra_Golf_Corfu
Journey278,Recreation,2043,3,Corfu,Plane,7,May,FourStars,Hotel_Kerkyra_Golf_Corfu
Journey279,Bathing,2498,2,Crete,Plane,14,June,TwoStars,Hotel_Oceanis_Crete
Journey280,Bathing,2417,3,Crete,Plane,14,July,TwoStars,Hotel_Ilios_Crete
Journey281,Active,2825,4,Crete,Plane,7,August,TwoStars,Hotel_Oceanis_Crete
